1/1/2010 0,48.2°F,-,46.4°F,93%,29.85in,8.0mi,Variable,3.5mph,-,N/A,
1/1/2010 0,51.8°F,-,48.2°F,88%,29.85in,10.0mi,Variable,6.9mph,-,N/A,
1/1/2010 1,50.0°F,-,46.9°F,89%,29.83in,10.0mi,SSE,8.1mph,-,N/A,
1/1/2010 14,46.9°F,-,44.1°F,90%,29.82in,7.0mi,SE,9.2mph,-,N/A,
1/1/2010 15,48.0°F,-,45.0°F,89%,29.82in,6.0mi,SSE,6.9mph,-,0.00in,Rain
1/1/2010 16,46.0°F,43.9°F,43.0°F,89%,29.78in,8.0mi,SE,4.6mph,-,0.04in,Rain
1/1/2010 17,46.0°F,43.1°F,43.0°F,89%,29.74in,10.0mi,South,5.8mph,-,0.04in,Rain
1/1/2010 18,50.0°F,-,46.0°F,86%,29.76in,10.0mi,SSE,9.2mph,-,0.00in,
1/1/2010 19,52.0°F,-,46.9°F,83%,29.76in,10.0mi,South,11.5mph,-,N/A,
1/1/2010 20,53.1°F,-,46.9°F,80%,29.76in,8.0mi,South,8.1mph,16.1mph,0.01in,Rain
1/1/2010 21,51.1°F,-,46.9°F,86%,29.76in,10.0mi,SSE,13.8mph,-,0.01in,Rain
1/1/2010 22,52.0°F,-,46.0°F,80%,29.76in,10.0mi,South,13.8mph,-,0.01in,Rain
1/1/2010 23,53.1°F,-,45.0°F,74%,29.76in,10.0mi,South,15.0mph,25.3mph,0.00in,Rain
1/1/2010 0,53.1°F,-,44.1°F,71%,29.77in,10.0mi,South,16.1mph,25.3mph,0.01in,Rain
1/1/2010 13,53.1°F,-,45.0°F,74%,29.76in,10.0mi,South,16.1mph,21.9mph,0.00in,
1/1/2010 2,54.0°F,-,43.0°F,66%,29.76in,10.0mi,South,15.0mph,25.3mph,0.00in,
1/1/2010 3,51.1°F,-,45.0°F,80%,29.80in,5.0mi,South,13.8mph,26.5mph,0.06in,Rain
1/1/2010 4,48.0°F,-,44.1°F,86%,29.81in,5.0mi,South,19.6mph,29.9mph,0.10in,Rain
1/1/2010 5,48.2°F,-,44.6°F,87%,29.82in,5.0mi,South,23.0mph,31.1mph,0.05in,Rain
