Hour,Highway,Visibility,Rain
3,0,1.5mi,1
2,0,1.5mi,1
2,0,1.5mi,1
2,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
2,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
3,0,1.5mi,1
2,0,1.5mi,1
2,0,1.5mi,1
2,0,1.5mi,1
22,0,1.5mi,1
22,0,1.5mi,1
22,0,1.5mi,1
9,0,1.5mi,1
0,0,1.5mi,1
0,0,1.5mi,1
5,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
4,0,1.8mi,1
23,0,1.8mi,1
23,0,1.8mi,1
15,0,1.8mi,1
15,0,1.8mi,1
15,0,1.8mi,1
15,0,1.8mi,1
15,0,1.8mi,1
22,0,1.8mi,1
10,0,1.8mi,1
11,0,1.8mi,1
11,0,1.8mi,1
10,0,1.8mi,1
1,0,1.8mi,1
5,0,1.8mi,1
5,0,1.8mi,1
7,0,1.8mi,1
7,0,1.8mi,1
7,0,1.8mi,1
2,0,2.0mi,1
1,0,2.0mi,1
1,0,2.0mi,1
1,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
21,0,2.0mi,1
19,0,2.0mi,1
19,0,2.0mi,1
7,0,2.0mi,1
7,0,2.0mi,1
21,0,2.0mi,1
7,0,2.0mi,1
7,0,2.0mi,1
7,0,2.0mi,1
7,0,2.0mi,1
5,0,2.0mi,1
3,0,2.0mi,1
3,0,2.0mi,1
3,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
19,0,2.0mi,1
19,0,2.0mi,1
2,0,2.0mi,1
2,0,2.0mi,1
2,0,2.0mi,1
18,0,2.0mi,1
18,0,2.0mi,1
16,0,2.0mi,1
16,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
8,0,2.0mi,1
9,0,2.0mi,1
9,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
8,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
6,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
0,0,2.0mi,1
13,0,2.0mi,1
13,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
11,0,2.0mi,1
23,0,2.0mi,1
23,0,2.0mi,1
16,0,2.0mi,1
16,0,2.0mi,1
16,0,2.0mi,1
16,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
23,0,2.0mi,1
23,0,2.0mi,1
23,0,2.0mi,1
22,0,2.0mi,1
21,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
5,0,2.0mi,1
4,0,2.0mi,1
4,0,2.0mi,1
