Date,Time(PST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
2010/1/1,12:07AM,48.2°F,-,46.4°F,93%,29.85in,8.0mi,Variable,3.5mph,-,N/A,,Overcast
2010/1/1,12:26AM,51.8°F,-,48.2°F,88%,29.85in,10.0mi,Variable,6.9mph,-,N/A,,Overcast
2010/1/1,12:53AM,50.0°F,-,46.9°F,89%,29.83in,10.0mi,SSE,8.1mph,-,N/A,,MostlyCloudy
2010/1/1,1:53AM,46.9°F,-,44.1°F,90%,29.82in,7.0mi,SE,9.2mph,-,N/A,,ScatteredClouds
2010/1/1,2:53AM,48.0°F,-,45.0°F,89%,29.82in,6.0mi,SSE,6.9mph,-,0.00in,Rain,LightRain
2010/1/1,3:53AM,46.0°F,43.9°F,43.0°F,89%,29.78in,8.0mi,SE,4.6mph,-,0.04in,Rain,LightRain
2010/1/1,4:53AM,46.0°F,43.1°F,43.0°F,89%,29.74in,10.0mi,South,5.8mph,-,0.04in,Rain,LightRain
2010/1/1,5:53AM,50.0°F,-,46.0°F,86%,29.76in,10.0mi,SSE,9.2mph,-,0.00in,,ScatteredClouds
2010/1/1,6:53AM,52.0°F,-,46.9°F,83%,29.76in,10.0mi,South,11.5mph,-,N/A,,Overcast
2010/1/1,7:53AM,53.1°F,-,46.9°F,80%,29.76in,8.0mi,South,8.1mph,16.1mph,0.01in,Rain,LightRain
2010/1/1,8:53AM,51.1°F,-,46.9°F,86%,29.76in,10.0mi,SSE,13.8mph,-,0.01in,Rain,LightRain
2010/1/1,9:53AM,52.0°F,-,46.0°F,80%,29.76in,10.0mi,South,13.8mph,-,0.01in,Rain,LightRain
2010/1/1,10:53AM,53.1°F,-,45.0°F,74%,29.76in,10.0mi,South,15.0mph,25.3mph,0.00in,Rain,LightRain
2010/1/1,11:53AM,53.1°F,-,44.1°F,71%,29.77in,10.0mi,South,16.1mph,25.3mph,0.01in,Rain,LightRain
2010/1/1,12:53PM,53.1°F,-,45.0°F,74%,29.76in,10.0mi,South,16.1mph,21.9mph,0.00in,,Overcast
2010/1/1,1:53PM,54.0°F,-,43.0°F,66%,29.76in,10.0mi,South,15.0mph,25.3mph,0.00in,,Overcast
2010/1/1,2:53PM,51.1°F,-,45.0°F,80%,29.80in,5.0mi,South,13.8mph,26.5mph,0.06in,Rain,LightRain
